case_code,selection_rule,screen,fraction_inspected,candidates_inspected,normalized_regret,color
C2,Median-ranking case,LM three-component-reaction screen,0.10833333333333334,117,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.10925925925925926,118,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.11018518518518519,119,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1111111111111111,120,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.11203703703703703,121,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.11296296296296296,122,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.11388888888888889,123,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.11481481481481481,124,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.11574074074074074,125,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.11666666666666667,126,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1175925925925926,127,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.11851851851851852,128,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.11944444444444445,129,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.12037037037037036,130,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.12129629629629629,131,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.12222222222222222,132,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.12314814814814815,133,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.12407407407407407,134,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.125,135,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1259259259259259,136,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.12685185185185185,137,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.12777777777777777,138,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1287037037037037,139,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.12962962962962962,140,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.13055555555555556,141,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.13148148148148148,142,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.13240740740740742,143,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.13333333333333333,144,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.13425925925925927,145,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.13518518518518519,146,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1361111111111111,147,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.13703703703703704,148,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.13796296296296295,149,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1388888888888889,150,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1398148148148148,151,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.14074074074074075,152,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.14166666666666666,153,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1425925925925926,154,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.14351851851851852,155,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.14444444444444443,156,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.14537037037037037,157,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.14629629629629629,158,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.14722222222222223,159,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.14814814814814814,160,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.14907407407407408,161,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.15,162,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.15092592592592594,163,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.15185185185185185,164,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1527777777777778,165,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1537037037037037,166,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.15462962962962962,167,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.15555555555555556,168,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.15648148148148147,169,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1574074074074074,170,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.15833333333333333,171,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.15925925925925927,172,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.16018518518518518,173,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.16111111111111112,174,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.16203703703703703,175,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.16296296296296298,176,0.0,#4C78A8
